date,open,high,low,close,volume
1999-11-01 00:00:00,136.5,137.0,135.5625,135.5625,4006500.0
1999-11-02 00:00:00,135.968704,137.25,134.593704,134.593704,6516900.0
1999-11-03 00:00:00,136.0,136.375,135.125,135.5,7222300.0
1999-11-04 00:00:00,136.75,137.359299,135.765594,136.531204,7907500.0
1999-11-05 00:00:00,138.625,139.109299,136.781204,137.875,7431500.0
1999-11-08 00:00:00,137.0,138.375,136.75,138.0,4649200.0
1999-11-09 00:00:00,138.5,138.6875,136.281204,136.703094,4533700.0
1999-11-10 00:00:00,136.25,138.390594,136.078094,137.718704,6405600.0
1999-11-11 00:00:00,138.1875,138.5,137.468704,138.5,4794100.0
1999-11-12 00:00:00,139.25,139.984299,137.125,139.75,11802900.0
1999-11-15 00:00:00,139.843704,140.25,139.406204,140.078094,2187500.0
1999-11-16 00:00:00,140.5625,143.0,140.093704,141.25,7544800.0
1999-11-17 00:00:00,142.25,142.9375,141.3125,141.625,9459000.0
1999-11-18 00:00:00,142.4375,143.0,141.625,142.625,4491000.0
1999-11-19 00:00:00,142.406204,142.968704,142.0,142.5,4832100.0
1999-11-22 00:00:00,142.4375,143.0,141.5,142.468704,4155400.0
1999-11-23 00:00:00,142.843704,142.843704,140.375,141.218704,5918000.0
1999-11-24 00:00:00,140.75,142.4375,140.0,141.968704,4459700.0
1999-11-26 00:00:00,142.468704,142.875,141.25,141.4375,1693900.0
1999-11-29 00:00:00,140.875,141.921799,140.4375,140.9375,7348600.0
1999-11-30 00:00:00,140.75,142.3125,139.0,139.281204,7682000.0
1999-12-01 00:00:00,139.3125,140.5,139.0,140.406204,6980200.0
1999-12-02 00:00:00,140.625,141.375,140.375,141.25,6698300.0
1999-12-03 00:00:00,143.031204,145.343704,143.031204,143.843704,10045400.0
1999-12-06 00:00:00,143.531204,143.718704,142.25,142.781204,3138900.0
1999-12-07 00:00:00,143.281204,143.3125,141.375,141.625,10714200.0
1999-12-08 00:00:00,141.343704,142.0625,140.5,140.718704,4611400.0
1999-12-09 00:00:00,141.8125,142.218704,139.375,141.406204,6474700.0
1999-12-10 00:00:00,142.281204,142.8125,140.875,141.875,5127300.0
1999-12-13 00:00:00,141.4375,142.718704,141.281204,142.125,4210800.0
1999-12-14 00:00:00,141.625,142.484299,140.625,140.75,5739000.0
1999-12-15 00:00:00,140.375,142.203094,140.031204,141.5,6879100.0
1999-12-16 00:00:00,142.1875,142.656204,141.156204,142.125,5854900.0
1999-12-17 00:00:00,143.0,143.3125,142.0625,142.6875,4775400.0
1999-12-20 00:00:00,142.5625,143.1875,141.093704,141.656204,4608700.0
1999-12-21 00:00:00,141.593704,144.0625,141.343704,143.8125,7981300.0
1999-12-22 00:00:00,143.625,144.1875,142.968704,144.1875,5377500.0
1999-12-23 00:00:00,145.015594,146.484299,145.0,146.484299,5721700.0
1999-12-27 00:00:00,146.5,146.781204,145.0625,146.281204,2691000.0
1999-12-28 00:00:00,145.875,146.5,145.484299,146.1875,4084500.0
1999-12-29 00:00:00,146.3125,146.8125,145.3125,146.8125,3001000.0
1999-12-30 00:00:00,147.125,147.5625,146.1875,146.640594,3641300.0
1999-12-31 00:00:00,146.843704,147.5,146.25,146.875,3172700.0
2000-01-03 00:00:00,148.25,148.25,143.875,145.4375,8164300.0
2000-01-04 00:00:00,143.531204,144.0625,139.640594,139.75,8089800.0
2000-01-05 00:00:00,139.9375,141.531204,137.25,140.0,12177900.0
2000-01-06 00:00:00,139.625,141.5,137.75,137.75,6227200.0
2000-01-07 00:00:00,140.3125,145.75,140.0625,145.75,8066500.0
2000-01-10 00:00:00,146.25,146.906204,145.031204,146.25,5741700.0
2000-01-11 00:00:00,145.8125,146.093704,143.5,144.5,7503700.0
2000-01-12 00:00:00,144.593704,144.593704,142.875,143.0625,6907700.0
2000-01-13 00:00:00,144.468704,145.75,143.281204,145.0,5158300.0
2000-01-14 00:00:00,146.531204,147.468704,145.968704,146.968704,7437300.0
2000-01-18 00:00:00,145.343704,146.625,145.1875,145.8125,6488500.0
2000-01-19 00:00:00,145.3125,147.0,145.0,147.0,6157900.0
2000-01-20 00:00:00,146.968704,146.968704,143.8125,144.75,5800100.0
